departamento,nome
Canindeyú,La Paloma Del Espíritu Santo
Canindeyú,Nueva Esperanza
Canindeyú,Salto Del Guairá
Canindeyú,Villa Curuguaty
Canindeyú,Villa Ygatimí
Canindeyú,Yasy Cañy
Canindeyú,Yby Pytá
Canindeyú,Ybyrarobaná
Canindeyú,Ypejhú
Central,Areguá
Central,Capiatá
Central,Fernando De La Mora
Central,Guarambaré
Central,Itauguá
Central,Itá
Central,J. Augusto Saldivar
Central,Lambaré
Central,Limpio
Central,Luque
Central,Mariano Roque Alonso
Central,Nueva Italia
Central,San Antonio
Central,San Lorenzo
Central,Villa Elisa
Central,Villeta
Central,Ypacaraí
Central,Ypané
Central,Ñemby
Concepción,Azote'y
Concepción,Belén
Concepción,Concepción
Concepción,Horqueta
Concepción,Loreto
Concepción,Paso Barreto
Concepción,San Alfredo
Concepción,San Carlos Del Apa
Concepción,San Lázaro
Concepción,Sargento José Félix López
Concepción,Yby Yaú
Cordillera,Altos
Cordillera,Arroyos Y Esteros
Cordillera,Atyrá
Cordillera,Caacupé
Cordillera,Caraguatay
Cordillera,Emboscada
Cordillera,Eusebio Ayala
Cordillera,Isla Pucú
Cordillera,Itacurubí De La Cordillera
Cordillera,Juan De Mena
Cordillera,Loma Grande
Cordillera,Mbocayaty Del Yhaguy
Cordillera,Nueva Colombia
Cordillera,Piribebuy
Cordillera,Primero De Marzo
Cordillera,San Bernardino
Cordillera,San José Obrero
Cordillera,Santa Elena
Cordillera,Tobatí
Cordillera,Valenzuela
Guairá,Borja
Guairá,Capitán Mauricio José Troche
Guairá,Coronel Martínez
Guairá,Doctor Bottrell
Guairá,Félix Pérez Cardozo
Guairá,Gral. Eugenio A. Garay
Guairá,Independencia
Guairá,Itapé
Guairá,Iturbe
Guairá,José Fassardi
Guairá,Mbocayaty
Guairá,Natalicio Talavera
Guairá,Paso Yobai
Guairá,San Salvador
Guairá,Tebicuary
Guairá,Villarrica
Guairá,Yataity
Guairá,Ñumí
Itapúa,Alto Verá
Itapúa,Bella Vista
Itapúa,Cambyretá
Itapúa,Capitán Meza
Itapúa,Capitán Miranda
Itapúa,Carlos Antonio López
Itapúa,Carmen Del Paraná
Itapúa,Coronel Bogado
Itapúa,Edelira
Itapúa,Encarnación
Itapúa,Fram
Itapúa,General Artigas
Itapúa,General Delgado
Itapúa,Hohenau
Itapúa,Itapúa Poty
Itapúa,Jesús
Itapúa,José Leandro Oviedo
Itapúa,La Paz
Itapúa,Mayor Julio Dionisio Otaño
Itapúa,Natalio
Itapúa,Nueva Alborada
Itapúa,Obligado
Itapúa,Pirapó
Itapúa,San Cosme Y Damián
Itapúa,San Juan Del Paraná
Itapúa,San Pedro Del Paraná
Itapúa,San Rafael Del Paraná
Itapúa,Tomás Romero Pereira
Itapúa,Trinidad
Itapúa,Yatytay
Misiones,Ayolas
Misiones,San Ignacio
Misiones,San Juan Bautista De Las Misiones
Misiones,San Miguel
Misiones,San Patricio
Misiones,Santa María
Misiones,Santa Rosa
Misiones,Santiago
Misiones,Villa Florida
Misiones,Yabebyry
Paraguarí,Acahay
Paraguarí,Caapucú
Paraguarí,Caballero
Paraguarí,Carapeguá
Paraguarí,Escobar
Paraguarí,La Colmena
Paraguarí,Mbuyapey
Paraguarí,Paraguarí
Paraguarí,Pirayú
Paraguarí,Quiindy
Paraguarí,Quyquyhó
Paraguarí,Roque González De Santa Cruz
Paraguarí,Sapucái
Paraguarí,Tebicuary-Mí
Paraguarí,Yaguarón
Paraguarí,Ybycuí
Paraguarí,Ybytymí
Presidente Hayes,Benjamín Aceval
Presidente Hayes,General José María Bruguez
Presidente Hayes,José Falcón
Presidente Hayes,Nanawa
Presidente Hayes,Puerto Pinasco
Presidente Hayes,Teniente Esteban Martínez
Presidente Hayes,Tte. 1° Manuel Irala Fernández
Presidente Hayes,Villa Hayes
San Pedro,25 De Diciembre
San Pedro,Antequera
San Pedro,Capiibary
San Pedro,Choré
San Pedro,General Elizardo Aquino
San Pedro,General Francisco Isidoro Resquín
San Pedro,Guajayvi
San Pedro,Itacurubí Del Rosario
San Pedro,Liberación
San Pedro,Lima
San Pedro,Nueva Germania
San Pedro,San Estanislao
San Pedro,San Pablo
San Pedro,San Pedro Del Ycuamandyyú
San Pedro,Santa Rosa Del Aguaray
San Pedro,Tacuatí
San Pedro,Unión
San Pedro,Villa Del Rosario
San Pedro,Yataity Del Norte
San Pedro,Yrybucua
Ñeembucú,Alberdi
Ñeembucú,Cerrito
Ñeembucú,Desmochados
Ñeembucú,Gral. José Eduvigis Díaz
Ñeembucú,Guazú-Cuá
Ñeembucú,Humaitá
Ñeembucú,Isla Umbú
Ñeembucú,Laureles
Ñeembucú,Mayor José Dejesús Martínez
Ñeembucú,Paso De Patria
Ñeembucú,Pilar
Ñeembucú,San Juan Bautista De Ñeembucú
Ñeembucú,Tacuaras
Ñeembucú,Villa Franca
Ñeembucú,Villa Oliva
Ñeembucú,Villalbín
